text,category
garbage is dumped on the roadside,Waste Management
large amount of household waste is lying outside,Waste Management
waste collection is not happening,Waste Management
people are throwing garbage in an open area,Waste Management
municipal waste is accumulating,Waste Management
there is a lot of plastic waste in the street,Plastic Pollution
plastic bags are blocking the drainage,Plastic Pollution
people are using too many plastic bottles,Plastic Pollution
plastic waste is present near the lake,Plastic Pollution
single use plastic is being dumped,Plastic Pollution
dirty water is entering the river,Water Pollution
sewage is being discharged into the lake,Water Pollution
water body contains chemical waste,Water Pollution
river water has become polluted,Water Pollution
industrial waste is entering the water,Water Pollution
vehicles are producing too much smoke,Air Pollution
air quality is very poor because of traffic,Air Pollution
factory smoke is polluting the area,Air Pollution
people are burning garbage and producing smoke,Air Pollution
there is heavy air pollution near the road,Air Pollution
loud noise from vehicles is disturbing people,Noise Pollution
construction noise is very high,Noise Pollution
loudspeakers are causing noise pollution,Noise Pollution
factory machines are producing excessive noise,Noise Pollution
there is continuous traffic noise,Noise Pollution
trees are being cut down,Deforestation
forest area is being destroyed,Deforestation
many trees were removed for construction,Deforestation
illegal tree cutting is happening,Deforestation
forest habitat is being lost,Deforestation
electricity is being wasted,Energy
many lights are unnecessarily switched on,Energy
people are wasting electricity,Energy
old appliances are consuming too much power,Energy
energy consumption is very high,Energy
